Card Name,Colour(s),Subdomain(s),Type,Tier,Casting Cost,Upkeep Cost,Keywords,Effect,Flavor,Creation Status,Performance,Play / Pick Rate,OG Creator,Date Added,Last Tested
Vampiric Sap,Green,Draining,Instant,2,2/3,N/A,"Empower, Heal","Deal 4 damage to a target.

Empower 4: Heal 2.",,,Strong,3 / 4,Noah,4/13/26,
Chain Lightning,Red,Lightning,Instant,2,2/3,N/A,Quicken,Deal 3 damage. Apply Quicken 1 to a Lightning card in your casting well.,,,No Data,1 / 1,Noah,4/13/26,
Shock and Awe,Red,Lightning,Instant,1,3,N/A,Exert,"Deal 2 damage to a target.

Exert: Deal 3 more damage.",,,No Data,0 / 0,Daniel,4/13/26,
Static Buildup,Red,Lightning,Instant,2,2/3,N/A,,"Deal 3 damage to a target. For every other Lightning card you invoke this round, deal 1 damage during End Phase to them.",,,No Data,0 / 1,Daniel,4/13/26,
Thaumaturge's Icon,Red,Lightning,Enchantment,2,3/2,1,Bank,"Bank Red

When you invoke a damaging card, you may expend 2 bank tokens on Thaumaturge's Icon to increase the damage by 1.",,,No Data,0 / 1,Daniel,4/13/26,
Miasma,Orange,Chemical,Curse,1,2,0,"Everyone, DoT","While this card is in play, deal 1 DoT to Everyone. ",,,No Data,1 / 1,Daniel,4/13/26,4/15/2026
Tetrodotoxin,Orange,Chemical,Curse,2,4/4,2,"DoT, Single","Single

While this card is in play, deal 1 DoT to a target, then this card's upkeep cost and DoT increases by 1.",,,Neutral,1 / 1,Noah,4/13/26,4/15/2026
Catalyst,Orange,Chemical,Instant,1,8,N/A,"Quicken, Augment",Augment Chemical: Apply Quicken 2 to the card this is attached to.,,,No Data,0 / 0,Noah,4/13/26,
Paralyzing Hemlock,Orange,Chemical,Curse,3,3/3/3,4,,"Choose a target. While this card is in play, the number of slots in their casting well is reduced by 1, to a minimum of 2.",,Recently Modified,Strong,1 / 1,Noah,4/13/26,4/15/2026
Magic Missle,Yellow,Impact,Instant,1,5,N/A,Upcast,"Deal 3 damage to a target.

Upcast: Deal 2 more damage.",,,No Data,0 / 0,Noah,4/13/26,
Defeaning Sound,Yellow,Vibration,Instant,3,3/4/4,N/A,"Delay, Single","Single

Choose a target. Delay all cards in their casting well.",,,No Data,0 / 1,Noah,4/13/26,
Pillar of Stone,Yellow,Thrust,Instant,2,3/3,N/A,Upcast,"Deal 3 damage to a target.

Upcast: Deal 3 more damage.",,,No Data,0 / 1,Daniel,4/13/26,
Earthen Grasp,Yellow,Grip,Instant,3,1/2/2,N/A,"Upcast, Delay","Deal 7 damage to a target.

Upcast: Apply Delay 2 to a card in the casting well..",,,No Data,0 / 0,Daniel,4/13/26,
Leech,Green,Draining,Instant,1,4,N/A,Heal,Deal 2 damage to a target. Heal 1.,,,No Data,1 / 2,Noah,4/13/26,
Panacea,Green,Animation,Enchantment,2,2/2,2,Heal,"While this card is in play, Heal 1 during End Phase.",,,"Neutral, Splashable",1 / 2,Daniel,4/13/26,
Cycle of Life,Green,Draining,Instant,2,2/2,N/A,Upcast,"Deal 3 damage to a target.

Upcast: Gain 8 mana.",,,Weak,2 / 2,Noah,4/13/26,
Aches of Actions,Green,Draining,Curse,3,3/3/3,2,Single,"Single

Choose a target. While this card is in play, every time the target activates a card, they take 1 damage.",,,No Data,0 / 0,Noah,4/13/26,
Mana Bank,Green,Growth,Enchantment,2,2/2,0,Bank,"Bank Growth

During End Phase, gain mana equal to the number of tokens in this bank.",,Recently Modified,No Data,1 / 2,Noah,4/13/26,
Glimpse Ahead,Purple,Divination,Instant,1,2,N/A,,"Look at the top 3 cards of your codex. Then, return them to the top of the deck in any order.",,,No Data,0 / 3,Noah,4/13/26,4/22/2026
Poke and Prod,Blue,Sanity,Instant,1,4,N/A,Draw,Draw 1. Deal 2 damage to a target.,,,"Strong, Must Pick",8 / 10,Daniel,4/13/26,4/22/2026
Mind Cloud,Blue,Sanity,Instant,2,2/2,N/A,Consequence,"Choose a target. All cards activated by them this round gain the below Consequence.

Consequence: You must Discard a card from your hand.",,,Weak,1 / 2,Noah,4/13/26,4/22/26
Anticipate,Blue,Telepathy,Instant,1,3,N/A,,"Choose a target, then name a subdomain. If the next card activated by the target has the field you named, you may immediately activate a card from your hand, paying its full casting cost.",,,"Neutral, Niche",3 / 3,Noah,4/13/26,4/22/26
Spellcaster's Toll,Purple,Channeling,Instant,1,3,N/A,,"Choose a card in a target's casting well. When the card is activated, they must either pay the card's full casting cost again, or you gain mana equal to the card's full casting cost.",,,No Data,0 / 0,Noah,4/13/26,
Last Minute Wall,Yellow,Grip,Ward,1,2,0,"Hidden, Single, Self-Discard","Hidden, Single

When you take damage, you may Discard this card to reduce the damage by 2.",,,No Data,1 / 1,Daniel,4/13/26,4/15/2026
Snap Trap,Green,Animation,Ward,1,2,0,"Hidden, Suppress","Hidden. 

After someone other than yourself discards or suppresses a card in your concentration circle, deal 2 damage to them.",,,No Data,1 / 2,Ali,4/13/26,
Soul Cycle,Purple,Soul,Instant,1,4,N/A,"Draw, Self-Discard","Draw 3. Then, discard 1.",,,"Neutral, Must Pick",5 / 5,Noah,4/13/26,4/15/2026
Shred of Doubt,Blue,Sanity,Instant,1,2,N/A,"Empower, Delay","Deal 2 damage to a target.

Empower 3: Delay a card in their casting well.",,,"Neutral, Splashable",5 / 7,Ali,4/13/26,4/15/2026
Restless Anguish,Orange,Chemical,Instant,2,2/4,N/A,"Detonate, Exert","Deal 1 damage to a target.

Exert: Detonate them.",,,Strong,2 / 2,Ali,4/13/26,4/15/2026
Mettle,Blue,Telepathy,Ward,2,2/1,2,Suppress,"When a card in your concentration circle is the target of a Suppress, it targets this card instead.",,,"Neutral, Splashable, Centralizing",5 / 6,Ali,4/13/26,4/15/2026
Windsweep,Yellow,Vibration,Instant,1,2,N/A,"Empower, Suppress","Deal 2 damage to a target.

Empower 2: Suppress one card in their concentrarion circle.",,,No Data,1 / 1,Ali,4/13/26,
Raining Fire,Red,Heat,Enchantment,3,2/2/2,2,Upcast,Tier 1 Cards that can Upcast automatically invoke their Upcast effect without needing to cast for an extra round.,,,Strong,3 / 3,Ali,4/13/26,4/22/26
Leap of Fate,Purple,Divination,Instant,1,4,N/A,Draw,Draw 2.,,,"Neutral, Must Pick",5 / 5,Ali,4/13/26,4/15/2026
Elixir of Youth,Orange,Conjuration,Enchantment,3,1/1/1,0,Synergize,Synergize N Orange: Gain N mana at the beginning of Upkeep Phase.,,Recently Modified,No Data,2 / 2,Daniel,4/13/26,4/15/2026
Friends on the Other Side,Purple,Channeling,Curse,2,4/4,4,Consequence,"Choose a color. All cards of that color gain the below Consequence while this card is in play:

Consequence: Deal 1 damage to the caster.",,,No Data,0 / 0,Daniel,4/13/26,
Steadfast,Yellow,Grip,Ward,2,2/2,1,"Hidden, Self-Discard, Forced-Discard","Hidden

When a Ward is invoked, you may Discard this card to Discard that card.",,,No Data,0 / 1,Daniel,4/13/26,
Shadow Clone,Blue,Illusion,Instant,1,4,N/A,Reveal,"Choose a target. Reveal a card in their casting well. If it is a Ward, deal 2 damage to them.",,,No Data,3 / 4,Daniel,4/13/26,4/22/2026
Distraction,Blue,Illusion,Instant,1,4,N/A,"Reveal, Quicken",Reveal a card in your hand. Apply Quicken 2 to a blue Instant card in your casting well.,,,"Weak, Niche",0 / 1,Daniel,4/13/26,4/22/2026
Flash Fire,Red,Heat,Instant,1,3,N/A,Upcast,"Deal 2 damage to a target.

Upcast: Deal 2 more damage.",,,Neutral,2 / 2,Daniel,4/13/26,4/22/26
Heating Up,Red,Heat,Instant,1,2,N/A,Upcast,"Deal 2 damage to a target.

Upcast: The next damaging Heat card you activate deals 1 more damage.",,,"Neutral, Niche",2 / 2,Daniel,4/13/26,4/22/26
Shadow Siren,Purple,Divination,Ward,1,1,2,"Hidden, Reveal","When one of your Hidden cards is Revealed by someone else, deal 1 damage to a target.",,,No Data,0 / 0,Daniel,4/13/26,
Spell Burst,Green,Release,Instant,1,2,N/A,Exert,"Deal 2 damage to a target. 

Exert: Deal 2 more damage.",,,No Data,2 / 2,Noah,4/13/26,
Holy Avenger,Purple,Channeling,Instant,3,2/2/2,N/A,,"Choose a target. Deal 1 damage, plus 1 damage for every card they currently have on the field.",,,No Data,0 / 0,Noah,4/13/26,
Soul Trade,Purple,Soul,Ward,1,2,2,"Hidden, Self-Discard","Hidden. 

When a card deals 5 or less damage to you, you may Discard this card to change the target to another being.",,,"Weak, Niche",1 / 1,Daniel,4/13/26,
Spirit Casting,Purple,Channeling,Instant,1,4,N/A,"Reveal, Quicken","Pick a Purple card from your archive, Reveal it, place it in this card's casting well slot after this card is Discarded, and Quicken it.",,,No Data,1 / 1,Ali,4/13/26,
Irritant,Orange,Chemical,Ward,1,2,2,"Detonate, Hidden, Self-Discard","Hidden. 

After someone's card damages you, you may Discard this card to Detonate them.",,,"Strong, Centralizing",2 / 2,Daniel,4/13/26,4/15/2026
Observe,Blue,Telepathy,Instant,1,1,N/A,"Reveal, Empower","Reveal a card in the target's hand or on their side of the field.

Empower 1: Reveal two cards instead.",,Recently Modified,No Data,1 / 2,Ali,4/13/26,4/15/2026
Mind Blast,Blue,Sanity,Instant,3,2/2/3,N/A,Forced-Discard,Deal 6 damage to a target and they must Discard 2.,,,No Data,2 / 2,Ali,4/13/26,4/15/2026
Acid Splash,Orange,Chemical,Instant,1,2,N/A,"Empower, Forced-Discard","Deal 2 damage to a target.

Empower 4: They must also Discard 1.",,,No Data,0 / 0,Ali,4/13/26,
Purify,Green,Draining,Ward,1,2,0,"Hidden, DoT, Self-Discard, Forced-Discard","Hidden

After a card with DoT is invoked, you may Discard this card to Discard it.",,,No Data,2 / 3,Daniel,4/13/26,4/15/2026
Hazy Malaise,Orange,Chemical,Instant,2,2/2,N/A,Return,Return a card on the field to its caster's hand.,,,No Data,0 / 0,Daniel,4/13/26,
Diamond Dust,Red,Freeze,Instant,1,3,N/A,Upcast,"Deal 2 damage to a target. 

Upcast: Deal 2 more damage.",,,Neutral,2 / 2,Ali,4/13/26,4/22/2026
Sleet,Red,Freeze,Instant,2,2/2,N/A,"Empower, Delay","Deal 4 damage to a target.

Empower 2: Delay a card in their casting well.",,,No Data,0 / 2,Ali,4/13/26,
Iceberg,Red,Freeze,Instant,3,2/2/3,N/A,"Empower, Forced-Discard","Deal 7 damage to a target.

Empower 2: Discard 1 card in their casting well.",,,No Data,0 / 2,Ali,4/13/26,
